Next Train ID,Final Train ID,Distance from station,BS_1_1,RSRP_1_1,RSSI_1_1,RSRQ_1_1,BS_2_1,RSRP_2_1,RSSI_2_1,RSRQ_2_1
43,1,2,469,-52,-28,-9,469,-58,-35,-6
43,1,6,469,-52,-28,-9,469,-58,-27,-6
43,1,12,469,-52,-28,-9,469,-58,-27,-6
43,1,18,469,-52,-28,-9,469,-58,-27,-6
43,1,26,469,-52,-28,-9,469,-58,-27,-6
43,1,36,469,-52,-28,-9,469,-58,-35,-6
43,1,48,469,-52,-28,-9,469,-58,-35,-6
43,1,58,469,-68,-46,-9,469,-58,-35,-6
43,1,72,469,-68,-46,-9,469,-58,-35,-6
43,1,84,469,-68,-46,-9,469,-58,-35,-6
43,1,98,469,-68,-46,-9,469,-69,-35,-6
43,1,111,469,-68,-46,-9,469,-69,-35,-6
43,1,126,469,-68,-46,-9,469,-69,-35,-6
43,1,143,469,-62,-38,-9,469,-69,-35,-6
43,1,157,469,-62,-38,-9,469,-74,-46,-6
43,1,174,469,-62,-38,-9,469,-74,-46,-6
43,1,188,469,-62,-38,-9,469,-74,-46,-6
43,1,206,469,-62,-38,-9,469,-74,-46,-6
43,1,221,469,-56,-38,-9,469,-74,-46,-6
43,1,240,469,-56,-38,-9,469,-74,-40,-6
43,1,255,469,-56,-38,-9,469,-74,-40,-6
43,1,275,469,-56,-38,-9,469,-74,-40,-6
43,1,295,469,-44,-16,-9,469,-74,-40,-6
43,1,311,469,-44,-16,-9,469,-74,-40,-6
43,1,325,469,-44,-16,-9,469,-74,-40,-6
43,1,343,469,-44,-16,-9,469,-74,-40,-6
43,1,361,469,-44,-16,-9,469,-59,-31,-6
43,1,374,464,-64,-37,-9,469,-59,-31,-6
43,1,387,464,-64,-37,-9,469,-44,-13,-6
43,1,404,464,-64,-37,-9,469,-44,-13,-6
43,1,423,464,-64,-37,-9,469,-44,-13,-6
43,1,438,464,-52,-30,-9,469,-44,-13,-6
43,1,458,464,-52,-30,-9,469,-61,-34,-6
43,1,473,464,-52,-30,-9,469,-61,-34,-6
43,1,491,464,-46,-18,-9,469,-61,-34,-6
43,1,508,464,-46,-18,-9,469,-61,-34,-6
43,1,521,464,-46,-26,-9,469,-61,-34,-6
