file name,seed,mean,95 percent,worst,,,,
re_03.csv,1991,33.92517,101.47303,420.938957,,,,
re_03.csv,202205,36.584524,111.183232,545.993453,,,,
re_03.csv,20220502,37.691709,108.193572,429.073906,,mean,worst 95%,worst
re_05.csv,1991,69.199805,204.731548,662.532702,,80.66561054,213.5453658,462.1042425
re_05.csv,202205,64.154627,181.572688,671.066773,,,,
re_05.csv,20220502,65.980296,191.103236,625.796071,,,,
re_07.csv,1991,95.52011,266.085313,544.350978,,,,
re_07.csv,202205,100.84203,273.294914,443.006637,,,,
re_07.csv,20220502,95.533135,265.850383,597.271437,,,,
re_09.csv,1991,74.206561,243.073095,306.310491,,,,
re_09.csv,202205,67.011646,223.260382,304.969899,,,,
re_09.csv,20220502,79.495522,238.940076,345.126766,,,,
re_11.csv,1991,67.411642,161.279324,260.514951,,,,
re_11.csv,202205,70.879827,177.789806,512.415851,,,,
re_11.csv,20220502,71.865091,178.061151,459.199703,,,,
re_13.csv,1991,73.37988,166.409481,1400.699482,,,,
re_13.csv,202205,77.446699,184.60912,1178.259135,,,,
re_13.csv,20220502,71.701724,183.301067,1241.463565,,,,
re_15.csv,1991,30.733682,81.431766,628.293945,,,,
re_15.csv,202205,30.606187,83.247294,519.745945,,,,
re_15.csv,20220502,29.116351,79.529081,562.942558,,,,
re_17.csv,1991,41.747818,138.448201,711.017959,,,,
re_17.csv,202205,46.354809,166.668655,656.133519,,,,
re_17.csv,20220502,39.153074,160.918975,342.834643,,,,
re_19.csv,1991,57.452132,136.540458,166.04712,,,,
re_19.csv,202205,59.186003,147.39174,226.506563,,,,
re_19.csv,20220502,64.961668,157.269603,201.200495,,,,
re_21.csv,1991,463.326883,899.060452,997.306551,,,,
re_21.csv,202205,137.956079,343.383956,880.016121,,,,
re_21.csv,20220502,350.866881,660.009394,988.753465,,,,
re_23.csv,1991,58.539236,153.154862,240.361468,,,,
re_23.csv,202205,55.226238,143.370688,237.822884,,,,
re_23.csv,20220502,58.498301,139.374763,227.064751,,,,
re_25.csv,1991,120.571476,285.368101,402.325834,,,,
